Player, Team, Opposition, #, Year, Venue, Result, Overs, Balls, Maidens, Runs, Wickets, Score, Team W
GD McGrath, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 34, 0, 6, 107, 3, 593, 5, 
CL Cairns, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 23, 0, 0, 112, 1, 593, 5, 
JH Kallis, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 20, 0, 1, 78, 0, 593, 5, 
SK Warne, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 23, 0, 2, 73, 0, 593, 5, 
M Muralitharan, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 33, 0, 2, 151, 1, 593, 5, 
ML Hayden, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 3, 0, 0, 19, 0, 593, 5, 
DG Bradman, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 9, 0, 0, 57, 0, 593, 5, 
GA Lohmann, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 31, 0, 5, 65, 2, 581, 10, 
Imran Khan, Pakistan, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 38, 0, 4, 120, 6, 581, 10, 
GS Sobers, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 31, 0, 2, 131, 2, 581, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 28, 0, 2, 72, 0, 581, 10, 
SK Warne, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 36, 0, 3, 125, 0, 581, 10, 
L Hutton, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 6, 0, 0, 35, 0, 581, 10, 
RT Ponting, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 3, 0, 0, 24, 0, 581, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 1, 0, 0, 2, 0, 581, 10, 
GD McGrath, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 18, 0, 6, 29, 1, 230, 4, 
CL Cairns, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 20, 0, 1, 73, 1, 230, 4, 
JH Kallis, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 9, 0, 2, 29, 1, 230, 4, 
M Muralitharan, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 23, 0, 4, 54, 0, 230, 4, 
SK Warne, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 17, 0, 3, 50, 1, 230, 4, 
GA Lohmann, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 11, 0, 0, 40, 3, 158, 4, 
Imran Khan, Pakistan, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 7, 0, 1, 34, 1, 158, 4, 
GS Sobers, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 4, 0, 1, 15, 0, 158, 4, 
SK Warne, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 11, 0, 1, 37, 0, 158, 4, 
M Muralitharan, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 11, 0, 3, 24, 0, 158, 4, 
GD McGrath, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 15, 0, 2, 43, 2, 188, 10, 
CL Cairns, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 11, 1, 1, 39, 2, 188, 10, 
JH Kallis, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 14, 0, 0, 33, 4, 188, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 17, 0, 1, 51, 2, 188, 10, 
SK Warne, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 9, 0, 0, 28, 0, 188, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 9, 4, 1, 34, 1, 256, 10, 
Imran Khan, Pakistan, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 13, 0, 1, 31, 1, 256, 10, 
GS Sobers, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 6, 0, 0, 17, 0, 256, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 26, 0, 4, 70, 5, 256, 10, 
SK Warne, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 26, 0, 2, 91, 3, 256, 10, 
GD McGrath, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 14, 0, 2, 42, 0, 352, 10, 
CL Cairns, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 22, 0, 2, 86, 2, 352, 10, 
JH Kallis, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 13, 0, 3, 31, 0, 352, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 30, 0, 4, 63, 2, 352, 10, 
SK Warne, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 40, 4, 8, 98, 5, 352, 10, 
ML Hayden, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 4, 0, 0, 17, 1, 352, 10, 
DG Bradman, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 2, 0, 0, 5, 0, 352, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 16, 0, 2, 31, 1, 264, 10, 
Imran Khan, Pakistan, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 24, 4, 1, 87, 3, 264, 10, 
GS Sobers, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 19, 0, 0, 62, 4, 264, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 21, 0, 2, 39, 2, 264, 10, 
SK Warne, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 16, 0, 4, 39, 0, 264, 10, 
GD McGrath, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 27, 0, 2, 91, 3, 403, 10, 
CL Cairns, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 21, 0, 1, 75, 1, 403, 10, 
JH Kallis, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 19, 0, 0, 80, 0, 403, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 16, 0, 0, 44, 1, 403, 10, 
SK Warne, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 34, 5, 4, 111, 5, 403, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 26, 0, 2, 109, 1, 649, 10, 
Imran Khan, Pakistan, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 27, 0, 0, 103, 1, 649, 10, 
GS Sobers, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 24, 5, 1, 106, 1, 649, 10, 
SK Warne, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 30, 0, 3, 110, 1, 649, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 47, 0, 3, 138, 6, 649, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 5, 0, 0, 33, 0, 649, 10, 
DG Bradman, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 4, 0, 0, 32, 0, 649, 10, 
GD McGrath, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 22, 0, 7, 46, 2, 261, 10, 
CL Cairns, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 19, 0, 3, 69, 0, 261, 10, 
JH Kallis, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 16, 0, 2, 51, 2, 261, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 24, 3, 3, 59, 4, 261, 10, 
SK Warne, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 16, 0, 2, 33, 1, 261, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 3, 0, 1, 2, 0, 16, 0, 
Imran Khan, Pakistan, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 2, 1, 1, 14, 0, 16, 0, 
